9 990 2342
0 0 -0.13082 -0.411621
1 0 -0.10631 -0.396193
0 1 -0.13125 -0.418478
1 1 -0.10631 -0.402622
0 2 0.0330086 -0.354622
1 2 0.0686983 -0.351622
0 3 -0.12437 -0.417621
1 3 -0.0994303 -0.402622
0 4 0.324976 0.158371
1 4 0.301326 0.226513
0 5 -0.10115 -0.133054
1 5 0.0674083 -0.11934
0 6 -0.00397109 -0.364908
1 6 0.0269886 -0.359765
0 7 0.238977 -0.0953399
1 7 0.373136 -0.0713402
0 8 -0.00655107 -0.360194
1 8 0.0239787 -0.354622
0 9 -0.255949 -0.0344835
1 9 -0.15017 -0.0297693
0 10 0.0196787 -0.0477691
1 10 0.163297 -0.0284836
0 11 -0.018591 0.244084
1 11 -0.0671805 0.264655
0 12 0.0807382 -0.328908
1 12 0.208017 -0.32848
0 13 -0.11706 -0.417193
1 13 -0.0921203 -0.40305
0 14 0.432045 -0.300623
1 14 0.558894 -0.318194
0 15 -0.228859 0.0550867
1 15 -0.211659 0.0550867
0 16 -0.0271909 -0.41505
1 16 0.00290884 -0.40905
0 17 0.355936 -0.373051
1 17 0.500414 -0.400479
0 18 -0.269709 -0.0130552
1 18 -0.17382 -0.0096267
0 19 0.277246 0.0555153
1 19 0.256177 0.100086
0 20 0.349056 -0.0987684
1 20 0.490095 -0.0713402
0 21 0.093638 -0.0760544
1 21 0.232097 -0.0550547
0 22 0.190817 0.353369
1 22 0.118578 0.421939
0 23 -0.283039 0.104372
1 23 -0.308408 0.0953719
0 24 0.393775 0.0516582
1 24 0.435055 0.109943
0 25 0.099228 -0.0473405
1 25 0.220057 -0.0237694
0 26 0.104388 -0.0644831
1 26 0.238117 -0.0421977
0 27 -0.280459 -0.373051
1 27 -0.0736305 -0.349051
0 28 -0.208649 -0.031055
1 28 -0.10846 -0.0233408
0 29 0.0261286 0.305798
1 29 0.0325786 0.340083
0 30 0.177057 0.267655
1 30 0.166737 0.326369
0 31 -0.301098 0.25137
1 31 -0.329478 0.23037
0 32 -0.11061 -0.409907
1 32 -0.0852404 -0.396193
0 33 0.358946 -0.00576961
1 33 0.409255 0.0379441
0 34 0.0489184 -0.0494833
1 34 0.168887 -0.0289122
0 35 -0.266269 0.199085
1 35 -0.279599 0.186656
0 36 -0.10115 -0.0203408
1 36 0.0394585 -0.00662674
0 37 0.224787 -0.318194
1 37 0.352926 -0.325051
0 38 0.208447 -0.322051
1 38 0.352926 -0.328908
0 39 0.397645 -0.339194
1 39 0.617373 -0.364051
0 40 -0.348828 -0.356336
1 40 -0.324748 -0.328908
0 41 0.0674083 -0.0683402
1 41 0.198127 -0.0477691
0 42 0.0536484 -0.109483
1 42 0.225647 -0.0923399
0 43 -0.17941 -0.0576261
1 43 -0.0667505 -0.0477691
0 44 -0.277449 0.237227
1 44 -0.314858 0.220085
0 45 0.00290884 -0.0919113
1 45 0.194257 -0.0747687
0 46 0.0454785 0.247513
1 46 0.0631083 0.282227
0 47 -0.206499 0.190514
1 47 -0.244339 0.185799
0 48 -0.10158 0.00365884
1 48 0.0188187 0.0178015
0 49 -0.1635 -0.0203408
1 49 -0.015581 -0.0096267
0 50 0.102238 -0.0391977
1 50 0.190817 -0.0151981
0 51 0.215327 -0.393622
1 51 0.339166 -0.410336
0 52 0.201137 0.333226
1 52 0.194687 0.405225
0 53 -0.0323508 -0.39105
1 53 0.0330086 -0.383765
0 54 -0.0843804 0.0276585
1 54 0.0295686 0.0426583
0 55 0.304766 -0.346051
1 55 0.421725 -0.363193
0 56 0.421295 0.0898006
1 56 0.493535 0.1618
0 57 -0.294219 0.216227
1 57 -0.323458 0.198656
0 58 0.00978878 -0.356765
1 58 0.0424685 -0.352051
0 59 0.0140887 -0.359765
1 59 0.0471985 -0.355908
0 60 -0.00655107 -0.370479
1 60 0.0244087 -0.365336
0 61 -0.11061 -0.416336
1 61 -0.0852404 -0.40305
0 62 0.242847 0.316512
1 62 0.245857 0.381225
0 63 -0.269709 0.223513
1 63 -0.317868 0.210228
0 64 0.094068 -0.390622
2 64 0.168027 -0.405193
0 65 -0.13125 -0.409479
2 65 -0.0921203 -0.410336
0 66 -0.000961121 -0.348622
2 66 0.0471985 -0.355908
0 67 -0.291639 0.0255157
2 67 -0.353988 -0.0186266
0 68 -0.13082 -0.402193
2 68 -0.0921203 -0.40305
0 69 -0.13168 -0.416336
2 69 -0.0921203 -0.416764
2 6 -0.10588 -0.416336
0 70 -0.282609 0.02723
2 70 -0.348398 -0.0164838
0 71 -0.0426708 -0.40305
2 71 0.00290884 -0.40905
0 72 -0.13813 -0.402193
2 72 -0.0994303 -0.402622
0 73 -0.1248 -0.415907
2 73 -0.0852404 -0.416764
0 74 -0.14501 -0.409907
2 74 -0.10631 -0.409907
0 75 -0.14415 -0.395764
2 75 -0.10631 -0.396193
0 76 -0.0568606 -0.0306264
2 76 0.0394585 -0.00662674
0 77 -0.13813 -0.416764
2 77 -0.0994303 -0.417193
0 78 -0.0211709 -0.347765
2 78 0.0239787 -0.354622
0 79 0.0170987 -0.343479
2 79 0.0686983 -0.351622
0 80 0.273376 -0.066626
2 80 0.366686 -0.031055
0 81 0.294016 0.124086
2 81 0.297456 0.196085
0 82 0.097508 -0.387193
2 82 0.171897 -0.401336
0 83 -0.230579 0.240227
2 83 -0.323458 0.198656
0 84 -0.13039 -0.394907
2 84 -0.0916903 -0.396193
0 85 -0.12394 -0.401764
2 85 -0.0852404 -0.40305
0 86 -0.0607306 0.226942
2 86 -0.14974 0.226942
0 87 -0.12437 -0.40905
2 87 -0.0852404 -0.410336
0 88 -0.1377 -0.395336
2 88 -0.0994303 -0.395764
0 89 0.221347 0.0679437
2 89 0.287566 0.129657
0 90 -0.14501 -0.402622
2 90 -0.10631 -0.402622
0 91 -0.13813 -0.409907
2 91 -0.0994303 -0.410336
0 92 -0.0504107 -0.313051
2 92 0.0153787 -0.312623
0 93 -0.10459 -0.274052
2 93 0.098368 -0.239338
0 94 -0.018161 -0.403907
2 94 0.0308586 -0.41205
2 34 0.198987 0.140371
0 95 -0.0332108 -0.404336
2 95 0.0136587 -0.411193
0 96 -0.10674 -0.405622
2 96 -0.0663205 -0.407764
0 97 0.0175287 -0.352479
2 97 0.0695583 -0.361051
0 98 0.0360186 0.02423
2 98 0.0704182 0.0486582
0 99 -0.194029 -0.0717687
2 99 -0.0491207 -0.0511976
2 40 -0.0852404 -0.396193
0 100 0.246287 0.0593724
2 100 0.280686 0.1138
0 101 0.360666 0.111229
2 101 0.414845 0.200371
0 102 0.125458 -0.383336
2 102 0.218767 -0.39705
0 103 0.321536 -0.373051
2 103 0.500414 -0.400479
0 104 -0.314858 0.257798
2 104 -0.380218 0.202942
0 105 -0.0336408 -0.391907
2 105 0.0132288 -0.398764
0 106 0.0635383 -0.369622
2 106 0.132768 -0.379908
0 107 0.437635 0.213228
2 107 0.475905 0.353369
0 108 -0.347538 0.271084
2 108 -0.414617 0.20637
0 109 0.297886 0.0448012
2 109 0.346046 0.103086
0 110 0.0183887 -0.0773401
2 110 0.205007 -0.0301979
0 111 -0.277449 0.0572296
2 111 -0.344098 0.0135159
0 112 -0.239609 -0.043912
2 112 -0.298089 -0.0781972
0 113 -0.221119 -0.390193
2 113 -0.18199 -0.386765
0 114 0.286706 0.0623724
2 114 0.393345 0.140371
2 8 0.0635383 0.0486582
2 21 -0.328618 -0.375193
3 64 -0.344958 0.157943
3 66 -0.299378 -0.106483
0 115 0.324976 -0.0237694
3 115 0.340886 0.0079445
0 116 -0.298948 -0.0199123
3 116 -0.348398 -0.0164838
0 117 -0.334208 -0.0520547
3 117 -0.387958 -0.0533404
0 118 -0.276589 0.0383727
3 118 -0.322598 0.0465154
