9 813 2640
0 0 -0.119328 -0.100807
1 0 -0.204774 -0.110294
0 1 -0.119328 -0.100807
1 1 -0.204774 -0.110294
0 2 -0.0598719 -0.100619
1 2 -0.235828 -0.109457
0 1 -0.0598719 -0.100619
0 3 -0.0091339 -0.0357466
1 3 -0.261529 -0.0413271
0 4 -0.0083604 -0.0915418
1 4 -0.154808 -0.102878
0 5 0.00714687 -0.0761129
1 5 -0.157927 -0.0873598
0 6 0.00714687 -0.0761129
1 6 -0.157927 -0.0873598
0 3 0.0234693 -0.0356861
0 5 0.038161 -0.0760679
0 6 0.038161 -0.0760679
0 5 0.0692679 -0.0759739
0 6 0.0692679 -0.0759739
0 7 0.0780378 -0.0505901
1 7 -0.274319 -0.0564925
0 8 0.0877098 -0.32359
1 8 -0.103686 -0.332885
0 3 0.088443 -0.0352875
0 9 0.116355 -0.239392
1 9 -0.0658262 -0.249414
0 10 0.121053 -0.0346751
1 10 -0.226862 -0.0425806
0 11 0.14818 -0.100948
1 11 -0.0313067 -0.116125
0 12 0.156594 0.172872
1 12 0.15412 0.124048
0 13 0.205304 0.00211496
1 13 0.142181 -0.0288961
0 14 0.299498 0.0591819
1 14 0.268221 0.0122947
0 15 0.31898 0.00788254
1 15 0.273802 -0.0324229
0 16 0.334671 0.0104599
1 16 0.287762 -0.030906
0 17 0.339071 0.0141919
1 17 0.291951 -0.0279128
0 18 0.369185 0.251705
1 18 0.356653 0.165561
0 19 0.375528 0.0360865
1 19 0.328622 -0.0124206
0 20 0.404038 -0.42227
1 20 0.275168 -0.402923
0 21 0.411682 0.110372
1 21 0.373596 0.0461435
0 22 0.41758 -0.0238528
1 22 0.34245 -0.0634963
0 23 0.421969 -0.0255575
1 23 0.345583 -0.0651579
0 24 0.423002 0.0699297
1 24 0.376983 0.0119943
0 25 0.428885 0.048039
1 25 0.384858 -0.00677466
0 26 0.435299 0.0704254
1 26 0.385962 0.0116843
0 27 0.435947 0.118527
1 27 0.394112 0.0508735
0 28 0.437581 0.0189444
1 28 0.381833 -0.0306292
0 29 0.4385 0.0500674
