22 2742 10764
0 0 -0.176597 -0.067799
1 0 -0.150791 -0.0709943
0 1 -0.173911 -0.0678027
1 1 -0.148043 -0.0710251
0 2 -0.160492 -0.075994
1 2 -0.133164 -0.0789963
0 3 -0.156336 -0.0988565
1 3 -0.128174 -0.10126
0 4 -0.155134 -0.107242
1 4 -0.126901 -0.109903
0 5 -0.155134 -0.107242
1 5 -0.126901 -0.109903
0 6 -0.136471 0.0350575
1 6 -0.072113 0.0333136
0 7 -0.12824 0.0654922
1 7 -0.0674144 0.063503
0 8 -0.127302 0.108344
1 8 -0.0685915 0.106281
0 9 -0.126458 0.0777197
1 9 -0.0666696 0.0761387
0 10 -0.125178 0.117121
1 10 -0.0665768 0.11509
0 11 -0.124862 0.0575851
1 11 -0.0634328 0.0558793
0 12 -0.124169 0.074205
1 12 -0.0640859 0.0723902
0 13 -0.123103 0.101888
1 13 -0.0641735 0.100078
0 14 -0.123103 0.101888
1 14 -0.0641735 0.100078
0 15 -0.121587 0.0592474
1 15 -0.0605944 0.0576353
0 16 -0.120237 0.17161
1 16 -0.0614117 0.169657
0 17 -0.118532 0.121364
1 17 -0.0599265 0.119362
0 18 -0.11811 0.126573
1 18 -0.0595798 0.124588
0 19 -0.11811 0.126573
1 19 -0.0595798 0.124588
0 20 -0.114884 -0.124704
1 20 -0.0828927 -0.127789
0 21 -0.104885 -0.123123
1 21 -0.0727709 -0.125241
0 22 -0.101693 -0.142388
1 22 -0.0694472 -0.145431
0 23 -0.0989954 0.15511
1 23 -0.0402401 0.152658
0 24 -0.0943517 -0.136497
1 24 -0.0621606 -0.139137
0 25 -0.0923356 -0.134105
1 25 -0.0600857 -0.136956
0 26 -0.0888154 -0.0639427
1 26 -0.0540919 -0.0663118
0 27 -0.0883354 -0.135899
1 27 -0.0560722 -0.138828
0 28 -0.0861857 0.168753
1 28 -0.0267145 0.165794
0 29 -0.0858441 0.168436
1 29 -0.0267607 0.165557
0 30 -0.0853956 -0.138273
1 30 -0.0531417 -0.140603
0 31 -0.0833995 -0.105251
1 31 -0.0480465 -0.107925
0 32 -0.0814897 0.17342
1 32 -0.021805 0.170216
0 33 -0.0766862 -0.104128
1 33 -0.0410793 -0.10646
0 34 -0.0749405 -0.115231
1 34 -0.0412886 -0.117802
0 35 -0.0716591 0.179053
1 35 -0.0115724 0.175755
0 36 -0.0716591 0.179053
1 36 -0.0115724 0.175755
0 37 -0.0700464 -0.0986971
1 37 -0.033929 -0.101494
0 38 -0.067834 -0.0942388
1 38 -0.0318309 -0.0967276
0 39 -0.0673663 0.182236
1 39 -0.00695084 0.178404
0 40 -0.0673663 0.182236
1 40 -0.00695084 0.178404
0 41 -0.0639433 -0.0964661
1 41 -0.0273858 -0.0991127
0 42 -0.0629336 0.0214309
1 42 0.00471159 0.0190501
0 43 -0.0609101 0.183781
1 43 -0.000424871 0.180141
0 44 -0.0502588 -0.147544
1 44 -0.0172785 -0.150783
0 45 -0.0465887 -0.144736
1 45 -0.01342 -0.147582
0 46 -0.0324034 -0.0916405
1 46 0.0170804 -0.0938494
0 47 -0.0271054 -0.0882845
1 47 0.0228917 -0.0911495
0 48 -0.0271054 -0.0882845
1 48 0.0228917 -0.0911495
0 49 -0.0232207 -0.103468
1 49 0.0267219 -0.10576
0 50 -0.0194789 -0.0866059
1 50 0.0308929 -0.088465
0 51 -0.0194789 -0.0866059
1 51 0.0308929 -0.088465
0 52 -0.0194627 -0.0945996
1 52 0.0310152 -0.0969132
0 53 -0.0183061 -0.148326
1 53 0.0127196 -0.15109
0 54 -0.0156675 -0.086971
1 54 0.0347149 -0.0892551
0 55 -0.0135069 -0.0893009
1 55 0.036936 -0.0916297
0 56 0.000795626 -0.0878619
1 56 0.0524729 -0.0907078
0 57 0.00156666 -0.0900173
1 57 0.0530766 -0.0922784
0 58 0.00512011 -0.0827587
1 58 0.056777 -0.0848149
0 59 0.00664456 -0.090431
1 59 0.0585795 -0.0931895
0 60 0.00664456 -0.090431
1 60 0.0585795 -0.0931895
0 61 0.0122494 -0.082258
1 61 0.0642024 -0.0843769
0 62 0.0152553 0.182723
1 62 0.0818488 0.176749
0 63 0.0159448 0.178572
1 63 0.082309 0.172893
0 64 0.0182144 -0.090095
1 64 0.0708098 -0.0924512
0 65 0.0190661 -0.0810991
1 65 0.0715295 -0.0832552
0 66 0.0190661 -0.0810991
1 66 0.0715295 -0.0832552
0 67 0.0193843 0.179018
1 67 0.0863738 0.173005
0 68 0.0219766 -0.0862576
1 68 0.0757324 -0.0883777
0 69 0.0224551 0.0699392
1 69 0.093942 0.0659995
0 70 0.0232657 0.160724
1 70 0.0895869 0.154041
0 71 0.0242745 0.171683
1 71 0.0919852 0.166383
0 72 0.0261118 0.167724
1 72 0.0938142 0.16178
0 73 0.027031 -0.0900035
1 73 0.0800238 -0.09222
0 74 0.0316755 0.158418
1 74 0.100323 0.15265
0 75 0.0322231 0.151537
1 75 0.100857 0.14592
0 76 0.0323366 -0.087625
1 76 0.0853446 -0.0898714
0 77 0.0347844 -0.0722714
1 77 0.0881486 -0.0747985
0 78 0.0351912 0.146644
1 78 0.104422 0.140914
0 79 0.0363118 -0.167551
1 79 0.0739449 -0.169636
0 80 0.0368565 0.141629
1 80 0.106459 0.135939
0 81 0.0406195 -0.170387
1 81 0.0782279 -0.172382
0 82 0.0438711 -0.146206
1 82 0.0832953 -0.147338
0 83 0.0450314 -0.0882456
1 83 0.0988182 -0.0903563
0 84 0.0560156 -0.0879142
1 84 0.111596 -0.0917421
0 85 0.0606713 -0.0807053
1 85 0.114858 -0.0831586
0 86 0.0633562 -0.076298
1 86 0.117395 -0.078743
0 87 0.0637767 -0.0955798
1 87 0.118309 -0.0976833
0 88 0.0639364 -0.0850842
1 88 0.118527 -0.0872874
0 89 0.0687996 -0.0846661
1 89 0.123238 -0.0869783
0 90 0.0694937 -0.0774565
1 90 0.123959 -0.079914
0 91 0.0746298 -0.0772491
1 91 0.129442 -0.0797656
0 92 0.0802077 -0.106475
1 92 0.134525 -0.108423
0 93 0.0847278 -0.0646213
1 93 0.139627 -0.0674564
0 94 0.0852284 -0.072162
1 94 0.140115 -0.075027
0 95 0.0852284 -0.072162
1 95 0.140115 -0.075027
0 96 0.0863379 -0.179357
1 96 0.118089 -0.180728
0 97 0.0884904 -0.0458558
1 97 0.141812 -0.0491279
0 98 0.0988818 -0.0458046
1 98 0.152851 -0.0491433
0 99 0.0989107 -0.0582029
1 99 0.153014 -0.0612432
0 100 0.0993557 -0.0724999
1 100 0.154033 -0.0750813
0 101 0.122678 0.0727805
1 101 0.145136 0.0676421
0 102 0.152266 -0.0246981
1 102 0.207437 -0.0295337
0 103 0.153402 0.00188148
1 103 0.206878 -0.00293468
0 104 0.154732 -0.0204805
1 104 0.209331 -0.0245744
0 105 0.163432 0.0194546
1 105 0.2554 0.0146313
0 106 0.169189 0.0431859
1 106 0.217927 0.0369346
0 107 0.169189 0.0431859
1 107 0.217927 0.0369346
0 108 0.172141 -0.0871486
1 108 0.210674 -0.0901677
0 109 0.172157 -0.0348848
1 109 0.233288 -0.0391155
0 109 0.17744 -0.0353724
0 110 0.178451 -0.0628641
1 110 0.22696 -0.0662327
0 111 0.18559 0.0453595
1 111 0.234778 0.038871
0 112 0.186506 0.0233988
1 112 0.240682 0.0176476
0 113 0.189261 0.046388
1 113 0.23858 0.0398103
0 114 0.189922 -0.0324226
1 114 0.245604 -0.0364813
0 115 0.190085 -0.0421713
1 115 0.245495 -0.0455892
0 116 0.190168 -0.110861
1 116 0.229811 -0.114222
0 117 0.194979 -0.0296539
1 117 0.250669 -0.0336676
0 118 0.198288 -0.0313668
1 118 0.253739 -0.0357856
0 119 0.198417 -0.0975453
1 119 0.238069 -0.100941
0 120 0.199227 -0.0379222
1 120 0.254357 -0.0419014
0 105 0.201181 0.020264
0 121 0.201805 -0.123643
1 121 0.241337 -0.126204
0 122 0.202091 -0.100447
1 122 0.241317 -0.104304
0 123 0.202349 -0.0233023
1 123 0.258404 -0.0275073
0 124 0.204156 0.0481187
1 124 0.253733 0.0412711
0 125 0.205564 -0.0185535
1 125 0.261213 -0.0231764
0 126 0.207414 0.00823265
1 126 0.262128 0.00262034
0 127 0.208794 -0.00962333
1 127 0.263984 -0.0147312
0 128 0.209659 -0.00211354
1 128 0.26491 -0.00740708
0 129 0.211252 -0.116291
1 129 0.251587 -0.118902
0 130 0.212184 0.0459301
1 130 0.261608 0.039118
0 131 0.21864 0.0505303
1 131 0.268299 0.0434895
0 132 0.225989 -0.103775
1 132 0.267555 -0.10646
0 133 0.243658 -0.0529425
1 133 0.29066 -0.0566274
